pdq,AIC,BIC
"(0, 0, 0)",16427.646897272174,16438.666663394484
"(0, 0, 1)",15920.551128008527,15937.080777191992
"(0, 0, 2)",15644.432510674076,15666.472042918696
"(0, 0, 3)",15524.940165506257,15552.489580812033
"(0, 0, 4)",15447.565263842922,15480.624562209852
"(0, 0, 5)",15443.051561149663,15481.620742577747
"(0, 0, 6)",15402.238323292822,15446.31738778206
"(0, 1, 0)",15899.269548829845,15904.778884095862
"(0, 1, 1)",15045.286490548797,15056.30516108083
"(0, 1, 2)",15023.169345354827,15039.697351152876
"(0, 1, 3)",15023.308295218096,15045.345636282162
"(0, 1, 4)",14913.076673672642,14940.623350002725
"(0, 1, 5)",14914.390592393509,14947.446603989609
"(0, 1, 6)",14868.42048715769,14906.985834019806
"(1, 0, 0)",15532.140834712125,15548.67048389559
"(1, 0, 1)",15054.124323365602,15076.163855610223
"(1, 0, 2)",15032.239977432477,15059.789392738252
"(1, 0, 3)",15032.742673716395,15065.801972083325
"(1, 0, 4)",14919.142293589699,14957.711475017783
"(1, 0, 5)",14920.139940540674,14964.219005029912
"(1, 0, 6)",14869.68294692798,14919.271894478374
"(1, 1, 0)",15553.854054685115,15564.872725217148
"(1, 1, 1)",15023.448809069998,15039.976814868047
"(1, 1, 2)",15030.305908293365,15052.343249357431
"(1, 1, 3)",15016.685754462662,15044.232430792745
"(1, 1, 4)",14913.8638651582,14946.9198767543
"(1, 1, 5)",14883.252227073433,14921.81757393555
"(1, 1, 6)",14869.252543275274,14913.327225403405
"(2, 0, 0)",15384.382370075069,15406.42190231969
"(2, 0, 1)",15032.53254523922,15060.081960544996
"(2, 0, 2)",15039.235780299627,15072.295078666557
"(2, 0, 3)",15031.79838723494,15070.367568663023
"(2, 0, 4)",14919.220152497372,14963.29921698661
"(2, 0, 5)",14888.625848762327,14938.21479631272
"(2, 0, 6)",14869.877967550792,14924.97679816234
"(2, 1, 0)",15494.158530031544,15510.686535829593
"(2, 1, 1)",15023.061547049543,15045.098888113609
"(2, 1, 2)",15026.520630948708,15054.06730727879
"(2, 1, 3)",14958.773615611553,14991.829627207653
"(2, 1, 4)",14914.747350661935,14953.312697524052
"(2, 1, 5)",14713.432390456725,14757.507072584856
"(2, 1, 6)",14774.179684560748,14823.763701954897
"(3, 0, 0)",15369.577076785601,15397.126492091376
"(3, 0, 1)",15032.11851768645,15065.17781605338
"(3, 0, 2)",15031.347610654522,15069.916792082606
"(3, 0, 3)",14958.355364538347,15002.434429027586
"(3, 0, 4)",14969.894344825409,15019.483292375802
"(3, 0, 5)",14727.499035340268,14782.597865951817
"(3, 0, 6)",14777.563789166124,14838.172502838828
"(3, 1, 0)",15392.844546414202,15414.881887478268
"(3, 1, 1)",14935.445143299816,14962.991819629899
"(3, 1, 2)",14829.888860902985,14862.944872499085
"(3, 1, 3)",14402.51461282924,14441.079959691357
"(3, 1, 4)",14454.37900951934,14498.453691647472
"(3, 1, 5)",14395.383534745615,14444.967552139764
"(3, 1, 6)",14417.054391097792,14472.147743757958
"(4, 0, 0)",15315.402268089707,15348.461566456637
"(4, 0, 1)",14944.539679203652,14983.108860631735
"(4, 0, 2)",15143.53713320152,15187.616197690759
"(4, 0, 3)",14744.807818068744,14794.396765619138
"(4, 0, 4)",14482.144064215512,14537.24289482706
"(4, 0, 5)",14433.486239984228,14494.094953656931
"(4, 0, 6)",14431.059294184925,14497.177890918783
"(4, 1, 0)",15246.915912332617,15274.4625886627
"(4, 1, 1)",14856.11828987314,14889.17430146924
"(4, 1, 2)",14862.242119689472,14900.807466551589
"(4, 1, 3)",14782.435378588994,14826.510060717126
"(4, 1, 4)",14427.313625235252,14476.897642629401
"(4, 1, 5)",14203.886682041342,14258.980034701508
"(4, 1, 6)",14215.551244638067,14276.15393256425
"(5, 0, 0)",15207.353107364479,15245.922288792563
"(5, 0, 1)",14864.524143391649,14908.603207880888
"(5, 0, 2)",14871.113535769275,14920.702483319668
"(5, 0, 3)",14677.207920035136,14732.306750646685
"(5, 0, 4)",14439.806921306239,14500.415634978943
"(5, 0, 5)",14167.837515116309,14233.956111850168
"(5, 0, 6)",14196.446991056317,14268.07547085133
"(5, 1, 0)",15101.38189236617,15134.437903962269
"(5, 1, 1)",14780.73940711499,14819.304753977107
"(5, 1, 2)",14491.113541290808,14535.18822341894
"(5, 1, 3)",14681.876384132465,14731.460401526614
"(5, 1, 4)",14412.000622625024,14467.09397528519
"(5, 1, 5)",14364.079385268731,14424.682073194914
"(5, 1, 6)",14247.49467866604,14313.60670185824
"(6, 0, 0)",15084.530478481001,15128.60954297024
"(6, 0, 1)",14788.011396970025,14837.600344520419
"(6, 0, 2)",14854.32325519499,14909.422085806538
"(6, 0, 3)",14699.927485107484,14760.536198780188
"(6, 0, 4)",14414.390252370671,14480.50884910453
"(6, 0, 5)",14386.82481121839,14458.453291013404
"(6, 0, 6)",14241.359939647606,14318.498302503775
"(6, 1, 0)",14394.42858889213,14432.993935754246
"(6, 1, 1)",14396.0127929662,14440.087475094333
"(6, 1, 2)",14396.410733949515,14445.994751343664
"(6, 1, 3)",14396.338224272506,14451.431576932671
"(6, 1, 4)",14282.025459965558,14342.62814789174
"(6, 1, 5)",14114.437024952456,14180.549048144656
"(6, 1, 6)",14107.022321861139,14178.643680319356
