pdq,AIC,BIC
"(0, 0, 0)",16427.646897272174,16438.666663394484
"(0, 0, 1)",15920.551128008527,15937.080777191992
"(0, 0, 2)",15644.432510674076,15666.472042918696
"(0, 0, 3)",15524.940165506257,15552.489580812033
"(0, 0, 4)",15447.565263842922,15480.624562209852
"(0, 0, 5)",15443.051561149663,15481.620742577747
"(0, 1, 0)",15899.269548829845,15904.778884095862
"(0, 1, 1)",15045.286490548797,15056.30516108083
"(0, 1, 2)",15023.169345354827,15039.697351152876
"(0, 1, 3)",15023.308295218096,15045.345636282162
"(0, 1, 4)",14913.076673672642,14940.623350002725
"(0, 1, 5)",14914.390592393509,14947.446603989609
"(1, 0, 0)",15532.140834712125,15548.67048389559
"(1, 0, 1)",15054.124323365602,15076.163855610223
"(1, 0, 2)",15032.239977432477,15059.789392738252
"(1, 0, 3)",15032.742673716395,15065.801972083325
"(1, 0, 4)",14919.142293589699,14957.711475017783
"(1, 0, 5)",14920.139940540674,14964.219005029912
"(1, 1, 0)",15553.854054685115,15564.872725217148
"(1, 1, 1)",15023.448809069998,15039.976814868047
"(1, 1, 2)",15030.305908293365,15052.343249357431
"(1, 1, 3)",15016.685754462662,15044.232430792745
"(1, 1, 4)",14913.8638651582,14946.9198767543
"(1, 1, 5)",14883.252227073433,14921.81757393555
"(2, 0, 0)",15384.382370075069,15406.42190231969
"(2, 0, 1)",15032.53254523922,15060.081960544996
"(2, 0, 2)",15039.235780299627,15072.295078666557
"(2, 0, 3)",15031.79838723494,15070.367568663023
"(2, 0, 4)",14919.220152497372,14963.29921698661
"(2, 0, 5)",14888.625848762327,14938.21479631272
"(2, 1, 0)",15494.158530031544,15510.686535829593
"(2, 1, 1)",15023.061547049543,15045.098888113609
"(2, 1, 2)",15026.520630948708,15054.06730727879
"(2, 1, 3)",14958.773615611553,14991.829627207653
"(2, 1, 4)",14914.747350661935,14953.312697524052
"(2, 1, 5)",14713.432390456725,14757.507072584856
"(3, 0, 0)",15369.577076785601,15397.126492091376
"(3, 0, 1)",15032.11851768645,15065.17781605338
"(3, 0, 2)",15031.347610654522,15069.916792082606
"(3, 0, 3)",14958.355364538347,15002.434429027586
"(3, 0, 4)",14969.894344825409,15019.483292375802
"(3, 0, 5)",14727.499035340268,14782.597865951817
"(3, 1, 0)",15392.844546414202,15414.881887478268
"(3, 1, 1)",14935.445143299816,14962.991819629899
"(3, 1, 2)",14829.888860902985,14862.944872499085
"(3, 1, 3)",14402.51461282924,14441.079959691357
"(3, 1, 4)",14454.37900951934,14498.453691647472
"(3, 1, 5)",14395.383534745615,14444.967552139764
"(4, 0, 0)",15315.402268089707,15348.461566456637
"(4, 0, 1)",14944.539679203652,14983.108860631735
"(4, 0, 2)",15143.53713320152,15187.616197690759
"(4, 0, 3)",14744.807818068744,14794.396765619138
"(4, 0, 4)",14482.144064215512,14537.24289482706
"(4, 0, 5)",14433.486239984228,14494.094953656931
"(4, 1, 0)",15246.915912332617,15274.4625886627
"(4, 1, 1)",14856.11828987314,14889.17430146924
"(4, 1, 2)",14862.242119689472,14900.807466551589
"(4, 1, 3)",14782.435378588994,14826.510060717126
"(4, 1, 4)",14427.313625235252,14476.897642629401
"(4, 1, 5)",14203.886682041342,14258.980034701508
"(5, 0, 0)",15207.353107364479,15245.922288792563
"(5, 0, 1)",14864.524143391649,14908.603207880888
"(5, 0, 2)",14871.113535769275,14920.702483319668
"(5, 0, 3)",14677.207920035136,14732.306750646685
"(5, 0, 4)",14439.806921306239,14500.415634978943
"(5, 0, 5)",14167.837515116309,14233.956111850168
"(5, 1, 0)",15101.38189236617,15134.437903962269
"(5, 1, 1)",14780.73940711499,14819.304753977107
"(5, 1, 2)",14491.113541290808,14535.18822341894
"(5, 1, 3)",14681.876384132465,14731.460401526614
"(5, 1, 4)",14412.000622625024,14467.09397528519
"(5, 1, 5)",14364.079385268731,14424.682073194914
